type,vesselName,callSign,numberOfVessels,specie,aggregatedMonths,periods,dataArray
EEOI,Gadus  Njord,,1,,3,4,"[{'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 'eeoi'}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 1.1226797796904882}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.6432734887519945}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.30259909641277305}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.33164111441058064}]"
EEOI,Reference Fleet,,128,,3,4,"[{'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 'avEeoi'}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.6465231853182909}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.9190361984168175}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.4406016399344445}, {'startDate': '01-12-2025', 'endDate': '01-12-2025', 'value': 0.6655622307088305}]"
